Sol 119
Height (m), Dust Ext (/m), Cloud Ext (/m)
100.00, 4.66899e-05, 2.7741154e-05
300.00, 4.66899e-05, 5.1656643e-05
500.00, 4.66899e-05, 2.0559643e-05
700.00, 4.66899e-05, 1.0000000e-10
900.00, 4.66899e-05, 1.0000000e-10
1100.00, 4.56086e-05, 1.0000000e-10
1300.00, 4.33054e-05, 1.0000000e-10
1500.00, 4.20582e-05, 1.0000000e-10
1700.00, 4.09262e-05, 1.0000000e-10
1900.00, 3.98885e-05, 0.0000000e+00
2100.00, 3.81422e-05, 7.1959461e-07
2300.00, 3.79516e-05, 6.8299003e-07
2500.00, 3.63314e-05, 8.2234146e-07
2700.00, 3.57448e-05, 3.0080248e-06
2900.00, 3.58146e-05, 1.8597424e-05
3100.00, 3.48232e-05, 5.7160447e-05
3300.00, 3.46735e-05, 7.8101118e-05
3500.00, 3.41712e-05, 5.6781071e-05
3700.00, 3.31111e-05, 2.3245128e-05
3900.00, 3.39591e-05, 5.1361094e-07
4100.00, 3.15883e-05, 1.0000000e-10
4300.00, 3.22783e-05, 1.0000000e-10
4500.00, 3.10498e-05, 1.0000000e-10
4700.00, 3.00250e-05, 1.0000000e-10
4900.00, 2.76486e-05, 1.0000000e-10
5100.00, 2.57504e-05, 1.0000000e-10
5300.00, 2.40868e-05, 1.0000000e-10
5500.00, 2.01790e-05, 1.0000000e-10
5700.00, 1.96104e-05, 1.0000000e-10
5900.00, 1.86720e-05, 1.0000000e-10
6100.00, 1.49208e-05, 1.1315774e-07
6300.00, 1.68355e-05, 1.0000000e-10
6500.00, 1.26242e-05, 1.2776544e-07
6700.00, 1.41705e-05, 1.0000000e-10
6900.00, 1.31730e-05, 1.0000000e-10
7100.00, 1.73800e-05, 1.0000000e-10
7300.00, 1.61543e-05, 1.0000000e-10
7500.00, 1.73666e-05, 1.0000000e-10
7700.00, 1.74423e-05, 1.0000000e-10
7900.00, 1.81535e-05, 1.0000000e-10
8100.00, 1.89296e-05, 1.0000000e-10
8300.00, 2.06989e-05, 1.0000000e-10
8500.00, 1.99055e-05, 1.0000000e-10
8700.00, 9.71690e-06, 1.0000000e-10
8900.00, 7.32702e-06, 1.0000000e-10
9100.00, 1.15152e-05, 1.0000000e-10
9300.00, 7.20790e-06, 1.0000000e-10
9500.00, 8.84737e-06, 1.0000000e-10
9700.00, 1.43113e-05, 1.0000000e-10
9900.00, 6.65008e-06, 1.0000000e-10
